Response,Score
"The corruption of Governments, Bank Debts, Money laundering that has grown on a vast scale since the 
  development of the Chinese Mixed economy and the collapse of the Soviet Union, make DeFi an attractive prospect. A dependence on permanent Inflation for fiscal stability has left the global financial system on a permanent cycle of growth and collapse, with the gap between the richest and poorest expanding.
 
 DeFi - offers total financial collapse on a scale not seen since the 1930s, because of the looming prospect of 'Infinite Money' leading to total Monetary collapse. There is no established restriction to the amount of crypto currency that can be created, nor the division of that currency, to create endogenous inflation.
 
 Moving from poor monetary control to poor control is unlikely to end well, and Nation States are unlikely to relinquish the power to confiscate funds.",3
"Decentralised finance removes the middle man. It makes it cheaper and easier for anyone to purchase goods, lend their money and borrow money. With centralised finance, your money is held with bank accounts and corporations that are regulated by governments. They charge fees and put stringent requirements on who can use their services. Alternatively, decentralised finance gives access to everyone to store, spend and borrow money with low to no fees. Decentralised finance does make it more difficult to recover money that is incorrectly sent to another person and may be more open to fraud. It is not backed by government guarantees to ensure your money is safe.",2
"I would be happy to be away from banks and financial institutions. I really hate dealing with my banks and feel like they are always out to get me or making things overly complicated and expensive. I think it would also be nice and convenient to have everything in one space, like a virtual wallet rather than multiple bank accounts.
 
 But I would also feel immediately overwhelmed and vulnerable. I would suddenly be in charge of everything, and I don__t feel impowered enough or educated enough on these systems to confidently continue this way. I would want help in the form of a knowledgeable advisor or something to help steer me through this process. I feel a bit like this is a whole new thing to really learn and I would love to have safe / secure guidance in this space.",3
"I would be comfortable with that because that__s what I have been building towards any for the last year and a half now. The majority of the things I create now live in the metaverse. The music, the visual content, etc is all capable for transition to DeFi if they don__t exist there already. I feel comfortable also because I stay on top of the phenomenon and I am aware of the foundational aspects of the technology.",2
"I already feel like this, as all of my wealth is in DeFi. Haha, I'm sorry, I think this question doesn't apply to me, or at least applies as the opposite.
 I'll answer as if it was my parents wealth the one that suddenly appears in DeFi. Honestly I would be very happy, I don't think it's wise right now to have your wealth in USD, at least not while we don't know how the future will look.
 The more users are at DeFi, more services will accept it. Right now you can live on DeFi, obviously with its difficulties and not as easy as centralized finance, but it is possible, and every day it will become more available. There are crypto ATMs around the world and again, I'm not saying it's easy but it is a possibility. If all of my wealth was turned into DeFi I would strategize and study even more to settle that wealth into residual income. I would use Centralized finance as my loose change to daily usage but not the money that I work.
 
 But I understand the emotional background on this question, I think I'm passed that but I remember when I used to put all my heart and hope into the Centralized Finance and felt scared that my money would be in danger if it wasn't locked by a bank or institution. That meant that I didn't trusted myself to be in charge of my own money. And banks are good at doing this, selling you the idea of safety, making you feel that you are not good enough to do it by yourself and you need help. Or not being so drastic, just people that don't want to do anything with finance and prefer someone else does it for them.
 But if you really understand the system you realize how fragile it is and that not even a bank can guarantee the value of your money and can easily be lost or diluted if major issues in the world arise.",3.5
"OK, so I was not expecting to 'push back' on a question, but this is needing some additional hypotheticals - you'd need to imply I can't just 'cash out', which I would take out at least 2/3 and sink 1/3 into more stable asset like housing, and keep 1/3 liquid. 
 
 Anyway, suppose I was 'all in', I would clearly feel like I was betting the farm, this is because the Crypto market is still immature, and is not stable. It may have gains, but it has significant losses, which as someone who is not rich or comes from money, I cannot afford the exposure. 
 
 However, if you said I could only transfer within DeFi, this would be more interesting to consider, as I would still then diversify the folio, and look at risk ratios yet again. 
 
 ---
 
 Now, if this was 2050, I would be more relaxed if my money was in DeFi. Like any new technology, this would have allowed the hype and the fuss to level off, and it would be as stable as anything else I suspect. Right now FSCS does not back DeFi - but in 2050, I'd wager it would cover you to _¡ê85k the same as anything else. 
 
 ---
 
 What might change with my wealth in DeFi would be the notion that the 'DNA' of my accruing the wealth would be an additional consideration to how I invest/divest it. This would be fun to explore if you wanted me to join the next session...",3
"Very nervous, I would seek to spread across several currencies. If my bank goes bust I have the chance of some recourse to recovery via the Government protections. If everything was in DeFi, I have no protection - it's a bit like owning uninsured leasehold property in a war zone.",2
"I would feel insecure. I feel that my money is safer in banks in order to prevent fraud but it is safer with DeFi in terms of governments stopping the freezing of assets or seizing assets. I would feel comfortable having my wealth mainly in revenue generating assets, a proportion in DeFi and then a small amount in centralised finance. At the moment, you also need to have a small amount in centralised finance in order to be part of the 'boys club''- I have a friend who is a multimillionaire with all his money in crypto- he can't even rent a property as he doesn't have bank statements or a credit history.",2
"___ my approach to life? Methodically chaotic, I suppose? Not that I know too well what it looks to outsiders; it's probably more chaotic to some, very neurotic to others. I__m stressed a lot and all the time and want to micromanage every tiny step of everything I will do; but I am also very silly and get distracted by all sorts of crap and create a huge amount of chaos all the time, ironically to some extent as a result of trying to do shit very well. Not very efficient, this brain!",3
"My best friend would say that my approach to life is optimistic (but not na__ve), methodic, and goal-oriented.
 They would probably also say that I am curious about the world, people, and different cultures - I approach everyday life with an open mind and heart, and I am always looking for new things to learn.
 They also say I give nurturing vibes, which I think speaks about me approaching people and situations empathetically, treating everyone and everything with an understanding and caring approach.",3
"With just the too much caution, with method weighing out the pros and cons to every decision that has to be made, and all the possible outcomes of whatever obstacle she may face, she wins the overthinking race. Her approach to life is similar to her ability to go from crying to laughing in minutes, chaotic but adaptable. It's always the end of the world, but it never is.",3
He approaches life like a river. Flows with the positives and the negatives but never fails to get back up and enjoy all the little details.,4
"Well-planned, anxious, income-oriented, creative, thinking of family first, never in the same place",2
"A funny and charismatic, a little bit of a stubborn person but a nice friend, and a very passionate boy.",1.5
"Generally with a realistic perspective, and with a thought-out plan of what I want (at least in the short term). Full of ideas but not always able to follow through.",2
"My brain has immediately started raking through the famous people drawer but I don__t really like ___celebrity__ of any sort and am not as interested in people that reach a certain a certain level of popularity as I might be in their work, so while there__s a lot of artistic and scientific work out there I really admire, I__m not too keen talking to the whole person that created it___ I think, with people about whom less is known, I worry that they wouldn__t be how I imagine them to be which would then influence how I feel about their work; and with people that actively seek out fame and the public eye, I__m just a little___ icked out? But if I've got to choose someone I can't invite anyway, I__m thinking Chomsky. I don__t agree with everything he says (neither in linguistics nor in politics) but the dude basically created my field as it currently stands and got into all sorts of crazy drama with fellow linguists and is like 97 and still sharp as a tack. I kind of just want to know how he behaves in the flesh before he's gone and check if he__s a real person? What does he eat everyday? Does he have a partner (or more)? Why__d he decide to publicly debate Foucault that one time (and did they talk amiably after or just continued raging at each other)? Does he have flowers in his room? Just banter, really __¡± I don__t need to ask about his work because he__s written it all, and there__s a lot of it (well. not everything is readable but getting him to reiterate stuff would take much, much more than one dinner).",3
"I would invite all of my female, womxn, non-binary, queer friends I know from all over the world.
 
 I would invite them because I have many internet friends I have never met in person, and yet are some of my closest friends. 
 
 We would unite around a round table, enjoy a good meal, share our experiences, exchange knowledge, and make plans to work together in our respective fields to make the changes we want to see in society.
 
 Most of us already work in education in different ways, either by guest lecturing, mentoring, running workshops, etc. We would love to show the corporate world, the fashion and arts industries, new generations, and the academic environment that there's a kinder approach to things, both in life and the workplace. 
 We would talk about how individualism doesn't take you far and how communities are the future of society.
 We would discuss ways of having a concrete, slow approach to solving problems, as we all know dreams of utopia can only go so far - so we prefer to discuss protopias.
 We'd talk about discuss concrete and actionable plans to show that there's a way to success through kindness, empathy, inclusion, and respect. 
 
 Most importantly, we would all get to know each other and create a network and community.",3
"My father, because he's lived for 55 years before I was born, what do you ask a man whose lived half a life before you? What are your memories of witnessing world war 2 as a baby? Do you still love mum? How have you succeed in your role as a father who provided? Why did I not inherit your maths skills? Do you carry the burden of your children not pursing a career in the multimillion industry of tennis? Why do you love Leonard Cohen so much? Will you promise me that you will live to 100 (He's 81 right now)?",3
"I think i would have to pick the Dalai Lama. I believe that being happy and cherishing life is the gateway to a successful future. I don't necessarily think that talking to an entrepreneur/successful business owner gives you the tools for success, only insights into their mindset and what makes them tick. Truthfully, i believe that each individual has the opportunity to be successful and happy, but in their unique way. Unfortunately the only way to figure this out is by figuring yourself out. So, i suppose i would ask him about life and what the journey was like. Any advice into chasing your dreams and overcoming the fear while doing so. About what matters in the end and what doesn't.",3
"If I have to choose from someone who's alive, it'd be Elon Musk. I would ask him what is the true reason he bought Twitter and jokingly suggest that it's only because he doesn't want that one old photo of himself being retweeted. Also, I would ask why he spends so much money on space travel, where there are people starving in the world and there are diseases that require money to save infants and kids whose lives are broken. I would try to gently guilt-trip them into having so much power and money, being able to control nearly the whole world's income in a way, yet not doing it. He is one of the people who could change mindsets, values, money distribution and standards of living just like any other top billionaire, yet he doesn't do as much as I feel he could. Why not Jeff Bezos or Warren Buffet? I'm interested in space, rockets and aero technologies, so maybe we can cha about it too. I wanted to be an astronaut when I was a kid.",3
"If she's ok with the invitation, i would have a dinner with angela merkel, 'cause her role in the world economics and politics it's so important and respectable that she's called ""The iron woman of germany"", i wanna talk about her life, and what does she seek, when she's already so powerful and a really big brain. To talk to her as a friend, with one's heart in one's hand.",2
"My mother or one of my best friends- might as well make a fun night of it. I don't really have the urge to have dinner with a complete stranger, much less a celebrity! In fact, that sounds like it would be miserable. I'm sure there are plenty of very intersting people that I could think of that I wouldn't mind speaking with, but I'm not exactly dying for the chance. I would much rather catch up with a friend, just because I know it would be nice and it would make me happy, which I think is a very fair criteria. As for what we would talk about: whatever catches our fancy. Partly I will admit this is fueled by the fact that I live very far from most of my friends and family, and see them rarely. This, too, is connected to money and finance: plane tickets are expensive!",2
"I wrote some of this in the sign-up, but primarily, it seems like a lot (almost everything) revolved around ___settling down__ for the previous generations in my family, and even in my own generation in the extended family. Everything needed to be expanded __¡± persons in the family, possessions, income, property, business, porofessional roles___ My huge break is that I__m happy to remain narrow in most ways. I want to snake around the nooks and remain largely free; a river rather than a tree. Of course, I have professional/academic aspirations and I want to expand some abstract things, but I don__t aspire to have a larger place to stay, I don__t want a vehicle unless I live in a place where I can__t do without one, I don__t want to settle or even stay in one place for more than a few years at a time, I don__t intend to grow a family and raise children (might adopt aging cats, at the most), and beyond wanting a certain amount of excess/saveable income, I don__t really spend any time planning trying to attain a progressively increasing income. Narrow. I__m not a minimalist or anything; I like nice things and experiences but I just don__t want to *splat* someplace and proliferate in every shape and form. Not that it's a bad thing -- My parents and their parents planned their life and that of their families in a certain way, giving them different needs and restrictions in terms of career-building and money-making to the ones I need to consider. Of course, I would have to embrace some of the same things they did if I chose to be responsible for a unit of humans; but I don__t choose that and just need to cater to my *own* needs and the shared needs of my relationship (which, being shared, are not heavy). That changes a lot and frees up a lot of bonds that would otherwise exist.
 
 Clearly, they also use and save money differently. I don__t come from a rich background __¡± there has been a good deal of class mobility that my family has gone through over the last two generations. This usually implies a huge inclination towards racking up savings and spending cautiously, which I__ve inherited to some extent. However; I also grew up in more luxury relative to my parents and grandparents due to said mobility, giving me___ let__s call it a (vast?) difference in priorities. For example, when they were able to afford it, my parents started buying grains of a higher quality, more expensive dairy products, more nuts and dry-fruits for us to munch, and so on before proceeding to spend on other items. Given the same amount of money, I would rather stick to the original cheap food and use the extra coin for a book/gadget/piece of clothing/accessory I need. My use of the word ___need__ is loose; it could range from objectively necessary for core life activities to something that makes a certain things slightly more convenient. At some stages I legitimately *have* skipped meals and eaten a very limited range of things (with equally limited nutritive value) for extended periods of time while also spending money on lots of travel tickets around the new country I then lived in, a few clothes I didn__t despise, a hair-straightening treatment I deeply believed I needed for people to not hate me on first sight, and my first camera. My parents would find this quite unfathomable; and my grandparents would most definitely have a stroke!! And yet, I __¡± I honestly think it__s fine to do that if money gets that tight again___ Maybe we really are doomed. __¡§__¡§
 
 And finally, there are the practical things: cash vs cards!! I think even people just a couple of years older to me find that they spend card money more loosely than cash. They say that cash, which physically changes hands, is easier to keep track of. I__m the opposite!! I__ve used online banking since the beginning of my money-management journey, got my bank__s apps whenever they first came out (just when I was entering ___adulthood__ (apparently) I think), and have been using services like apple pay for years already. I__m used to conceptualising my savings as numbers on a screen. So every time I__ve withdrawn money and have to use actual banknotes, I feel like I treat it as ___free money__ that doesn__t actually belong to my pot of gold!! It__s like __¡± if I don__t envision the transaction changing the amount on my account page, if I don__t envision a slot with a minus and a red amount showing up for that particular transaction, it feels like it doesn__t count as much! 
 It might just be me being weird but it would also make sense that handling physical money as little as I have in recent years should have an effect on our perceptions about it.
 
 Sorry -- I've just realised that this answer got really long!!",4
"The main difference between my family and me is that I do not want to have children of my own (I come from a large family on my parents' and grandparents' sides). I prefer to dedicate my time, energy, and resources to helping others, to improve the living conditions of people who are already alive and exist. 
 I would consider fostering later in life.
  
 Another difference would be that I like the idea of being able to travel and live in different places, while both my families have always stayed in the same country (they only moved across cities). 
 I understand there was a language barrier for my grandparents, but my parents did live in other countries while studying and chose to come back to the city they were born in their late 20s and have never lived anywhere else ever since.
 
 There's also a difference in the approach to money and finances.
 I have learned a lot about money management and investments from my paternal grandmother. 
 She has invested in properties, stocks, and others since she was younger. My dad enjoyed the family wealth and never really felt like taking financial risks, but I tend to be more adventurous when it comes to finances. I am aware this comes from the privilege of having a family that would be able to provide a financial safety net if needed. 
 Most people in my family are state employees (mostly teachers, state lawyers, and doctors), while I first worked as a freelancer and currently have my own business with my partner.
 
 Overall, my values and beliefs align with those of my dad's family. My grandma graduated from University in the late 50s, worked all her life, was in charge of the family finances, and still drives a car. She used to be very religious but started questioning her beliefs later in life. She is now very open-minded: she rejects dogmas, homophobia, and the overall structure of the church. I love how she worked to improve herself all her life, and I have learned a lot from her.
 
 My mom's family was poor, so I prefer not to compare myself to my grandparents as I understand they came from a different time, and the people around them did not push them to want to make a change or question their beliefs. Nonetheless, I learned the core values of family, community, and empathy from them.",4
"My father left home when he was 22, applying to university through the local library in letter form, I left home at 18, applying to university through the internet with a few clicks. His generation without a doubt worked a lot harder, but I also believe that they had a lot more faith in the world. I think we lack the optimism our parents had as we are faced with more adverse problems in our time, with global warming and living costs.
 Having read On The Road by Jack Kerouac, the narrative of floating through life, and having the privilege of being in America to do so, its partially truthful fiction, it's a biography. To my generation, it is romanticised struggle; the modern day couch surfing while one looks for a stable job, I guess one can approach this through a more poetic lens. 
 The difference in mindset is, meaning, which is what my generation lacks, as previously mentioned being burdened by issues out of our control, the significant drop in currency, affordability of estate, and the accessibility one has to follow their ""dreams"". Can we even afford to pursue said dreams anymore? The struggle in trying to create a space that merges survival and turning dreams into reality. I have met people that have been in put in circumstances when their dreams are pushed so far out of reality that a 9-5 and a bed with no central lighting would suffice. How can meaning replace survival, does meaning make survival more tolerable? Isn't the same way they speak of faith?
 I never really knew my grandparents. I know that my father's parents were wealthy but without inheritance; he was the director of an industrial fan factory, all my father got was some jewellery him and and his sister had to fight over. My mother's father was a farmer or mechanic, I feel shame in not remembering which, but they grew up in poverty, villagers of the global south, the original foragers. I think they had more strength in persevering than my generation. They had no access to health care like I do, how could they have dealt with depression brought on by the poverty? Having no choice but to keep it moving. The privilege I have to take a break, be unemployed and seek therapy, I do not deserve the opportunity to take a breath, this is not how I thank my ancestors.
 It is a vain generation. Who demands this much of attention towards their physical appearance? It is obscene that the most polluting industry is fast fashion. As someone i knew once said ""get a life""",4
"Personally i think the biggest difference between our generations is following the trends. Our parents and Grandparents mindsets were stuck on education and the rest of the world. Just like the banker boom were everyone thought they could make fortunes. The truth is only some did. Their attitude looked more toward the future. get a good education, secure a stable job in order to work your way up the ranks enough to have a nice retirement. I think this is to do with the uncertain time they grew up in. Stable job and income means you can plan your life around it. Today, i think that education is becoming less important as anyone has the ability to learn basically anything thanks to the internet. Although i do agree with a good education i think that everyone should discover what their passion is before pouring all their time and effort into it. I don't want to follow the crowd, i want to create something unique. In the meantime i don't mind jumping jobs and just enjoying the experiences that i have. I am not focused on retirement and living a good life in the future. I'd rather focus on now. I want to enjoy the time i have doing something i love. I think that if you just enjoy your life opportunities will come to you and in the end being happy is all that matters.",3
"My family members are very different from each other. I am the closest to my dad, life-wise: he is very young-spirited, outgoing, open-minded, has lots of hobbies (we share the love for music and reading, although polar opposite genres), and knows who he is as a person. Currently, I'm experiencing a long-term burnout so I don't dream of becoming a businesswoman anymore, like he is - always looking for opportunities, even in dark times like the current war between my home country and Ukraine. This is where my mom and I are similar. Like her, I am looking for a stable job, the ability to be promoted, work 9/5 and just live a simple life, locally. It is very different from my ""usual"" same, but I got so tired at the beginning of my 20s (I'm only 22 now, so I know how silly it sounds), that I just want to survive, even if it means living on the bare minimum. I used to feel superior to people who live paycheck-to-paycheck, but now I see why this could be the desired option, instead of living in constant stress of chasing the financial independency like my dad. My grandparents are very usual local people needed to the society, which I like a lot. My grandad was a PE teacher at school and now is an Olympic trainer. My grandma was a state accountant for her hometown. They never dreamed of something big, they just wanted to have enough for their parents and kids. Before my master's, I dreamt of continuing the breaking of the poverty cycle, just like my dad did. But now that my youth maximalism is over, I just want to have enough. And I distantly believe that's what should everyone strive for - to not be in abundance, to not be suffering. To have just enough.",4
"My mindset is so complex, but the bases are simple, study and work, on that matter we think the same, but it's kinda different, and I'll tell you why:
 My father says that he only wants to work till he dies, and make us happy, but I think that is because he didn't have a proper education, and didn't have his parents when he was turning an adolescent (Both died when he was like 10-12) and he was the one who had to work in a social club helping a lady with the kitchen's work. He only knows that lifestyle, and im trying to convince him that he has to live his life, that life involves more than work, and he has to have some fun now, but, for that to happen i have to get a really well paid job, and that's why i'm studying so hard!.
 Money is something we all need, but the ways we spend them, that depends a lot from human being to human being. My mom has the economy of the entire house in her hands, and she's really good with it, because, if there was no more money, at least we would have food and supplies (because here in Argentina, it's so difficult to end the month with a little bit of money). She has always been a great leader for her family, and us, she teaches us how to properly use money, and how we can develop a great financial mindset.
 They taught me how to properly behave, how to be empatic and honored, and i've tell them, from my position, ways to make them lives easyer, that they already had done too much, and they have to start taking care of themselves, so they don't have to end with a lot of healt problems when the get to elder ages. And that i'm not a kid anymore, even if i were, they have to talk important things (Healtcare) with me, i don't think they made a lot of mistakes, but i will improve some little things when i get to be a father",3
"I probably worry more. My generation seems to be rather fraught with anxiety and stress. The milestones that governed our parents and grand-parents lives (university, getting marrried, buying a house, having children, retiring) are becoming less and less reliable and predictable. We have little to measure our progress by and so our (and my) approaches to life, work, and money are all incredibly varied. I just try to take it year by year for now. Without knowing what my life will be like in terms of relationships, career, etc, it's a matter of figuring out what's feasible and what makes me happy, and then doing my best to get there. Even the people my age who know exactly what they want and how to get it, it's generally a completely different path to previous generations. Our motivations are different; for instance, we've all grown up under the looming threat of climate change. Money seems to be worth less and less. A mortgage is a distant dream. Technology, too, has had a considerable influence. There are so many pathways in life now that didn't even exist 20 years ago, and it's changed how we socialize, find partners, and even our work lives. LinkedIn is a staple now. We value different things because we SEE different things, as the world gets ever more interconnected, as poltiics continue to be as messy as ever. We pay such close attention to things like politics because we hardly have a choice, with technology shoving it down our throats every hour of the day and with this omnipresent weight of ""responsibility"" we (or at least I) feel about making the world a better place. It feels very much like we're running out of time, so the future becomes either a dream, or a mission.",4
